fte_id,available_start_week_iso,available_end_week_iso
fte_hengelo_4,2028-W49,2029-W10
fte_hengelo_4,2029-W12,2029-W43
fte_hengelo_4,2029-W45,2029-W51
fte_hengelo_4,2030-W01,2030-W14
fte_hengelo_4,2030-W16,2030-W26
fte_hengelo_4,2030-W28,2030-W37
fte_hengelo_4,2030-W40,2032-W16
fte_hengelo_4,2032-W19,2032-W21
fte_hengelo_4,2032-W23,2032-W53
fte_sofia_1,2025-W01,2025-W12
fte_sofia_1,2025-W14,2025-W15
fte_sofia_1,2025-W18,2025-W44
fte_sofia_1,2025-W46,2025-W47
fte_sofia_1,2025-W49,2025-W52
fte_sofia_1,2026-W02,2026-W05
fte_sofia_1,2026-W07,2026-W19
fte_sofia_1,2026-W21,2027-W06
fte_sofia_1,2027-W08,2027-W09
fte_sofia_1,2027-W11,2027-W20
fte_sofia_1,2027-W22,2027-W35
fte_sofia_1,2027-W37,2029-W07
fte_sofia_1,2029-W09,2030-W18
fte_sofia_1,2030-W20,2030-W41
fte_sofia_1,2030-W43,2031-W14
fte_sofia_1,2031-W16,2031-W33
fte_sofia_1,2031-W35,2032-W12
fte_sofia_1,2032-W14,2032-W14
fte_sofia_1,2032-W16,2032-W53
fte_sofia_2,2025-W01,2025-W03
fte_sofia_2,2025-W05,2025-W13
fte_sofia_2,2025-W15,2026-W49
fte_sofia_2,2026-W51,2027-W07
fte_sofia_2,2027-W09,2027-W14
fte_sofia_2,2027-W16,2027-W37
fte_sofia_2,2027-W39,2029-W05
fte_sofia_2,2029-W07,2029-W20
fte_sofia_2,2029-W22,2029-W49
fte_sofia_2,2029-W51,2030-W18
fte_sofia_2,2030-W20,2030-W26
fte_sofia_2,2030-W28,2030-W40
fte_sofia_2,2030-W42,2030-W47
fte_sofia_2,2030-W49,2031-W19
fte_sofia_2,2031-W21,2031-W46
fte_sofia_2,2031-W48,2032-W01
fte_sofia_2,2032-W03,2032-W23
fte_sofia_2,2032-W25,2032-W47
fte_sofia_2,2032-W49,2032-W49
fte_sofia_2,2032-W51,2032-W53
fte_sofia_3,2025-W01,2025-W22
fte_sofia_3,2025-W24,2025-W47
fte_sofia_3,2025-W49,2025-W49
fte_sofia_3,2025-W51,2025-W52
fte_sofia_3,2026-W02,2026-W27
fte_sofia_3,2026-W29,2026-W29
fte_sofia_3,2026-W31,2027-W05
fte_sofia_3,2027-W07,2027-W30
fte_sofia_3,2027-W32,2027-W37
fte_sofia_3,2027-W39,2028-W15
fte_sofia_3,2028-W17,2028-W17
fte_sofia_3,2028-W19,2028-W19
fte_sofia_3,2028-W21,2028-W26
fte_sofia_3,2028-W28,2028-W37
fte_sofia_3,2028-W39,2029-W07
fte_sofia_3,2029-W09,2030-W48
fte_sofia_3,2030-W50,2031-W44
fte_sofia_3,2031-W46,2032-W25
fte_sofia_3,2032-W27,2032-W48
fte_sofia_3,2032-W50,2032-W53
fte_sofia_4,2025-W01,2025-W23
fte_sofia_4,2025-W25,2025-W35
fte_sofia_4,2025-W37,2025-W40
fte_sofia_4,2025-W42,2026-W11
fte_sofia_4,2026-W13,2026-W46
fte_sofia_4,2026-W48,2027-W11
fte_sofia_4,2027-W13,2027-W45
fte_sofia_4,2027-W47,2028-W28
fte_sofia_4,2028-W30,2028-W36
fte_sofia_4,2028-W38,2029-W26
fte_sofia_4,2029-W28,2030-W13
fte_sofia_4,2030-W15,2030-W21
fte_sofia_4,2030-W23,2030-W34
fte_sofia_4,2030-W36,2031-W03
fte_sofia_4,2031-W05,2031-W08
fte_sofia_4,2031-W10,2031-W25
fte_sofia_4,2031-W27,2031-W47
fte_sofia_4,2031-W49,2032-W08
fte_sofia_4,2032-W10,2032-W30
fte_sofia_4,2032-W32,2032-W53
