fte_id,available_start_week_iso,available_end_week_iso
fte_sofia_2,2030-W28,2030-W40
fte_sofia_2,2030-W42,2030-W47
fte_sofia_2,2030-W49,2031-W19
fte_sofia_2,2031-W21,2031-W46
fte_sofia_2,2031-W48,2032-W01
fte_sofia_2,2032-W03,2032-W23
fte_sofia_2,2032-W25,2032-W47
fte_sofia_2,2032-W49,2032-W49
fte_sofia_2,2032-W51,2032-W53
fte_sofia_3,2025-W02,2025-W51
fte_sofia_3,2026-W02,2026-W32
fte_sofia_3,2026-W36,2026-W51
fte_sofia_3,2027-W02,2027-W32
fte_sofia_3,2027-W36,2027-W51
fte_sofia_3,2028-W02,2028-W32
fte_sofia_3,2028-W36,2028-W51
fte_sofia_3,2029-W01,2029-W52
fte_sofia_3,2030-W01,2030-W52
fte_sofia_3,2031-W01,2031-W52
fte_sofia_3,2032-W01,2032-W52
fte_sofia_4,2025-W02,2025-W51
fte_sofia_4,2026-W02,2026-W32
fte_sofia_4,2026-W36,2026-W51
fte_sofia_4,2027-W02,2027-W32
fte_sofia_4,2027-W36,2027-W51
fte_sofia_4,2028-W02,2028-W32
fte_sofia_4,2028-W36,2028-W51
fte_sofia_4,2029-W01,2029-W52
fte_sofia_4,2030-W01,2030-W52
fte_sofia_4,2031-W01,2031-W52
fte_sofia_4,2032-W01,2032-W52
fte_hengelo_3,2025-W02,2025-W51
fte_hengelo_3,2026-W02,2026-W32
fte_hengelo_3,2026-W36,2026-W51
fte_hengelo_3,2027-W02,2027-W32
fte_hengelo_3,2027-W36,2027-W51
fte_hengelo_3,2028-W02,2028-W32
fte_hengelo_3,2028-W36,2028-W51
fte_hengelo_3,2029-W01,2029-W52
fte_hengelo_3,2030-W01,2030-W52
fte_hengelo_3,2031-W01,2031-W52
fte_hengelo_3,2032-W01,2032-W52
fte_hengelo_4,2025-W02,2025-W51
fte_hengelo_4,2026-W02,2026-W32
fte_hengelo_4,2026-W36,2026-W51
fte_hengelo_4,2027-W02,2027-W32
fte_hengelo_4,2027-W36,2027-W51
fte_hengelo_4,2028-W02,2028-W32
fte_hengelo_4,2028-W36,2028-W51
fte_hengelo_4,2029-W01,2029-W52
fte_hengelo_4,2030-W01,2030-W52
fte_hengelo_4,2031-W01,2031-W52
fte_hengelo_4,2032-W01,2032-W52
fte_sofia_5,2025-W01,2025-W12
fte_sofia_5,2025-W14,2025-W15
fte_sofia_5,2025-W18,2025-W44
fte_sofia_5,2025-W46,2025-W47
fte_sofia_5,2025-W49,2025-W52
fte_sofia_5,2026-W02,2026-W05
fte_sofia_5,2026-W07,2026-W19
fte_sofia_5,2026-W21,2027-W06
fte_sofia_5,2027-W08,2027-W09
fte_sofia_5,2027-W11,2027-W20
fte_sofia_5,2027-W22,2027-W35
fte_sofia_5,2027-W37,2029-W07
fte_sofia_5,2029-W09,2030-W18
fte_sofia_5,2030-W20,2030-W41
fte_sofia_5,2030-W43,2031-W14
fte_sofia_5,2031-W16,2031-W33
fte_sofia_5,2031-W35,2032-W12
fte_sofia_5,2032-W14,2032-W14
fte_sofia_5,2032-W16,2032-W53
fte_sofia_6,2025-W01,2025-W03
fte_sofia_6,2025-W05,2025-W13
fte_sofia_6,2025-W15,2026-W49
fte_sofia_6,2026-W51,2027-W07
fte_sofia_6,2027-W09,2027-W14
fte_sofia_6,2027-W16,2027-W37
fte_sofia_6,2027-W39,2029-W05
fte_sofia_6,2029-W07,2029-W20
fte_sofia_6,2029-W22,2029-W49
fte_sofia_6,2029-W51,2030-W18
fte_sofia_6,2030-W20,2030-W26
fte_sofia_6,2030-W28,2030-W40
fte_sofia_6,2030-W42,2030-W47
fte_sofia_6,2030-W49,2031-W19
fte_sofia_6,2031-W21,2031-W46
fte_sofia_6,2031-W48,2032-W01
fte_sofia_6,2032-W03,2032-W23
fte_sofia_6,2032-W25,2032-W47
fte_sofia_6,2032-W49,2032-W49
fte_sofia_6,2032-W51,2032-W53
fte_sofia_7,2025-W02,2025-W51
fte_sofia_7,2026-W02,2026-W32
fte_sofia_7,2026-W36,2026-W51
fte_sofia_7,2027-W02,2027-W32
fte_sofia_7,2027-W36,2027-W51
fte_sofia_7,2028-W02,2028-W32
fte_sofia_7,2028-W36,2028-W51
fte_sofia_7,2029-W01,2029-W52
fte_sofia_7,2030-W01,2030-W52
fte_sofia_7,2031-W01,2031-W52
fte_sofia_7,2032-W01,2032-W52
fte_sofia_8,2025-W02,2025-W51
fte_sofia_8,2026-W02,2026-W32
fte_sofia_8,2026-W36,2026-W51
fte_sofia_8,2027-W02,2027-W32
fte_sofia_8,2027-W36,2027-W51
fte_sofia_8,2028-W02,2028-W32
fte_sofia_8,2028-W36,2028-W51
fte_sofia_8,2029-W01,2029-W52
fte_sofia_8,2030-W01,2030-W52
fte_sofia_8,2031-W01,2031-W52
fte_sofia_8,2032-W01,2032-W52
